mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,C,l1_ratio,mean_auc,std_auc,rank,n_nonzero
0.12965002059936523,0.0961845325344602,0.0012579917907714843,0.0003815796991616923,0.02,0.8,"{'model__C': 0.02, 'model__l1_ratio': 0.8}",0.7856812398797132,0.8327550312283136,0.7070321535970392,0.7728429331482767,0.795104895104895,0.7786832505916474,0.041013141143260906,23,0.02,0.8,0.7786832505916474,0.041013141143260906,23,20
0.06171493530273438,0.009174334306965994,0.0010031700134277345,8.740569486533814e-07,0.05,0.8,"{'model__C': 0.05, 'model__l1_ratio': 0.8}",0.7809391626185519,0.8387693731205181,0.7320148045338885,0.7823270876705991,0.8284382284382283,0.7924977312763571,0.03828318456791222,9,0.05,0.8,0.7924977312763571,0.03828318456791222,9,35
0.10527162551879883,0.03431946072052389,0.0012032508850097657,0.0004011632570624403,0.1,0.8,"{'model__C': 0.1, 'model__l1_ratio': 0.8}",0.7654406662040251,0.8447837150127226,0.7441591487393013,0.7853342586167014,0.8445221445221445,0.7968479866189789,0.041147925181432135,2,0.1,0.8,0.7968479866189789,0.041147925181432135,2,50
0.16545801162719725,0.08650650522593288,0.0012462139129638672,0.00038835446074883084,0.2,0.8,"{'model__C': 0.2, 'model__l1_ratio': 0.8}",0.7554938699976868,0.8371501272264631,0.7461253758963682,0.7818644459865834,0.849067599067599,0.79394028363494,0.04199125972994891,8,0.2,0.8,0.79394028363494,0.04199125972994891,8,54
0.26462812423706056,0.0967623284219283,0.0012035369873046875,0.00040125885111744647,0.5,0.8,"{'model__C': 0.5, 'model__l1_ratio': 0.8}",0.7489012260004627,0.8241961600740226,0.7372195234790654,0.7774693499884339,0.8455710955710956,0.786671471022616,0.04203340009270705,16,0.5,0.8,0.786671471022616,0.04203340009270705,16,71
0.48729491233825684,0.08913565779915071,0.0010797977447509766,0.00015449715248147742,1.0,0.8,"{'model__C': 1.0, 'model__l1_ratio': 0.8}",0.7480916030534351,0.8191071015498496,0.7337497108489474,0.7748091603053435,0.8398601398601399,0.783123543123543,0.04061526556966907,20,1.0,0.8,0.783123543123543,0.04061526556966907,20,75
0.025633621215820312,0.0016591858281944552,0.0012055397033691405,0.00040026912507573224,0.005,0.9,"{'model__C': 0.005, 'model__l1_ratio': 0.9}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,30,0.005,0.9,0.5,0.0,30,1
0.10520343780517578,0.044601549426578,0.001203298568725586,0.0004013782833458481,0.01,0.9,"{'model__C': 0.01, 'model__l1_ratio': 0.9}",0.79794124450613,0.7848716169326857,0.6905505436039787,0.7353111265325007,0.7703379953379954,0.7558025053826581,0.038754824661227906,27,0.01,0.9,0.7558025053826581,0.038754824661227906,27,8
0.11360831260681152,0.09799563118008234,0.0015060901641845703,0.0004476649484738624,0.02,0.9,"{'model__C': 0.02, 'model__l1_ratio': 0.9}",0.7827897293546148,0.8302105019662273,0.7076104557020588,0.7756187832523711,0.7920745920745921,0.7776608124699729,0.03976620440446996,25,0.02,0.9,0.7776608124699729,0.03976620440446996,25,13
0.06175661087036133,0.013643048363016832,0.0014032840728759766,0.0004917707958478738,0.05,0.9,"{'model__C': 0.05, 'model__l1_ratio': 0.9}",0.7817487855655795,0.83911635438353,0.7262317834836919,0.7815174647235716,0.8252913752913753,0.7907811526895496,0.0396516527330013,11,0.05,0.9,0.7907811526895496,0.0396516527330013,11,35
